first_5_words,inhoud,Review,sentiment
Geschreven bij Skechers Oak Canyon,"wandelschoenen grijs - Maat 42 Stijlvol en toch modern. Lekker voetbed. Heb zelf maat 42 en gekocht in maat 43, vind ze wel aan de krappe kant vallen",,-1
Geschreven bij Skechers Oak Canyon,"wandelschoenen grijs - Maat 44 Schoenen lopen lekker, maar het woordje 'waterafstotend' is een lachertje. Dus voor mooi weer zijn ze prima.De reden dat mijn man deze koos was juist omdat ze waterafstotend zouden zijn. Maar je kan er niet eens mee door vochtig gras lopen. Na mail contract met Scapino kwamen we niet verder.",,-1
Geschreven bij Skechers Arch Fit,"Discover Elevation G Dames Laarzen - Zwart/Blauw - Maat 40 Een fijne en goed steungevende schoen om mee in het bos te wandelen. Wel een maat kleiner moeten bestellen, ze vallen ruim een maat groter uit. Gelukkig werd deze de volgende dag bezorgd net voor vertrek.",,1
Geschreven bij Skechers Arch Fit,Discover Elevation G Dames Laarzen - Zwart/Blauw - Maat 38 Fijne lichte wandelschoenen met prima pasvorm,,1
Geschreven bij Skechers Hiking Trego,"Base Camp wandelschoenen bruin - Maat 38 Zijn dan, voor mij, totaal geen sexy schoenen. Maar ohh, wat zitten ze heerlijk! Super stevig, goed aansluitend om de voeten en enkels. Gewoon mijn eigen maat genomen en zit dus als gegoten. Voel me stoer en staan best leuk onder een spijkerbroek of sportieve joggingbroek. Loopt bovendien echt fijn. Gelijk in de regen een wandeling van 1 uur gemaakt. Geen spijt!!",,1
Geschreven bij Skechers Hiking Trego,"Base Camp wandelschoenen bruin - Maat 40 Stevige wandelschoen, leuke kleuren, zachte zool, geen pijnlijke voeten, vallen wel ruim uit in schoenmaat. Heb dan ook een paar moeten retourneren wegens te groot zijnde.",,1
Geschreven bij Skechers Hiking Trego,Base Camp wandelschoenen bruin - Maat 38 Ze zitten lekker en zijn gemakkelijk aan te trekken,,1
Geschreven bij Skechers Trego -,"Base Camp Dames Wandelschoenen - Kaki - Maat 39 Lopen en zitten goed, maar als je door nat gras loopt heb je kletsnatte voeten, ik heb de leverancier gemaild en die zegt dat mag omdat ze niet waterdicht zijn",,1
Licht,,,1
Geschreven bij Skechers Hiking Trego,Base Camp wandelschoenen bruin - Maat 39 Brede voeten en halluxtenen passen er goed in. Steunzolen ook. Maar ik heb wel halve maat groter besteld omdat mijn ene voet groter is dan de andere. De veters zijn heel sterk en kan je stevig strak krijgen. Ik loop veel met de hond door zompige blubber en ze zijn waterdicht gebleken. Ik vind de schoenen mooi en trendy. Ik zou graag volgend jaar een versie willen met zachte wollige voering voor warmere wintervoeten,,1
Geschreven bij Columbia TRAILSTORM WATERPROOF,"Wandelschoenen Dames - Graphite, Dolph - Maat 37 Fijne wandelschoen, let op bij tenen wel vrij smal",,1
Hele fijne schoenen. Ik heb,ze al een jaar en ze lopen nog perfect. Prijs-kwaliteit is super! Aanrader !,,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 45 Lang gezocht naar schoenen met een brede pasvorm en heb die met deze gevonden. Vooral de teenruimte is een verademing.,,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 42 Hele fijne wandelschoenen met brede pasvorm. Ik heb ze niet in hoeven lopen ze zaten meteen goed. Het herenmodel heeft een bredere pasvorm daarom heb ik hier voor gekozen.Helaas liet bij de vierde wandeling er een haakje los waar de veter om heen moet. Ik heb dit gemeld en kreeg heel snel antwoord. Ik krijg een paar nieuwe schoenen. Nu wist ik niet wat ik moest verwachten maar dit is boven verwachting. Dit is topservice !Dank jullie wel ToExplore.,,1
Geschreven bij Travelin' Nyborg -,"Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 43 fijne pasvorm, mooi materiaal",,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 43 Perfecte pasvorm en lopen lekker,,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42 Goede keus,,1
Geschreven bij Travelin' Nyborg -,"Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 43 Goeie wandelschoenen, zitten perfect. Reeds een aantal wandelingen mee gedaan intussen, enkel positieve ervaringen.",,1
Geschreven bij Grisport Sherpa Wandelschoenen,Unisex - Brown - Maat 38 Goeie stevige wandelschoen. Met ondersteuning waar het hoort. Eerste keer erop lopen is even wennen maar de schoen gaat daarna naar je voeten zitten,,1
Geschreven bij Grisport Sherpa Wandelschoenen,"Unisex - Black - Maat 38 Best raar, op reviews afgaan bij Bol voor wandelschoenen? Achja, het ik lockdown, dus beholpen allemaal, wie niet waagt ... etc. Maar wauw, wat zitten ze lekker! Ik heb ze dagelijks naar m'n werk aan,(staand, wandelend beroep, 0 blaren gehad) Ik ben een vrouw, maat 38 en ondanks dat het 'echte mannenkleding' is, zitten ze als gegoten. Daarnet blokkie om in de sneeuw, je glijdt niet uit, stevige grip, fijne zool, goede steun, kortom, echt een aanwinst!",,1
Geschreven bij Grisport Sherpa Wandelschoenen,"Unisex - Black - Maat 41 Ik wandel al 4 jaren op de Grisport Sherpa en ik vind het de fijnste wandelschoen ever. Ik loop gemiddeld per tocht 20 tot 30 km per dag en dan vaak ook nog meerdere dagen achter elkaar met overnachtingen. Ik heb een nieuw paar aangeschaft nadat mijn eerste paar na 4 jaren was versleten. De Grisport Sherpa is een lompe, maar zeer goede en degelijke wandelschoen die zeer lang mee gaat. Ook loop ik er nooit geen blaren in.",,1
Geschreven bij Grisport Sherpa Wandelschoenen,"Unisex - Brown - Maat 43 zeer goede schoenenik ben namelijk aan mijn heup geoperreed.en ze vonden de schoenen heel goed voor mijn voeten .heelgoed zelfs.ik zou zeggen voor om te wandelen,en heel goed voorje voeten 'kies voor deze schoenen.",,1
Geschreven bij Grisport Sherpa Wandelschoenen,"Unisex - Brown - Maat 44 Ik heb deze wandelschoenen aangeschaft omdat ik zeer goede ervaring heb met de werkschoenen van Grisport. Ik heb ze nu een tijdje maar ik vind ze niet lekker lopen. Alleen op bospaden zijn ze wel oke. Maar als ik van het station naar mijn werk loop, vind ik ze te stug. Ook zijn ze niet voldoende antislip. Op put deksels en in het station glij ik weg met de schoen. Ik had ze beter verwacht als ik kijk naar de beoordelingen.",,1
Dit zijn toffe wandelschoenen. Ik,"wandel in bossen, langs de kust of door het buitengebied van ons dorp. Heb nog geen ervaring met extreme regen of diepe plassen. Wel oppassen op gladde stoepen of wegen, dan hebben ze weinig grip.",,1
Geschreven bij Jack Wolfskin Vojo,"3 Texapore Low Wandelschoenen Dames - Maat 42 Maat 42 komt niet in de buurt van een maat 42, voor een maat 41 zit die al niet ruim",,-1
Geschreven bij Grisport Sherpa Wandelschoenen,"Unisex - Brown - Maat 39 Dit zijn toffe wandelschoenen. Ik wandel in bossen, langs de kust of door het buitengebied van ons dorp. Heb nog geen ervaring met extreme regen of diepe plassen. Wel oppassen op gladde stoepen of wegen, dan hebben ze weinig grip.",,1
Geschreven bij Travelin' Nyborg -,Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 42 Stevige en fijn zittende schoen,,1
Geschreven bij Travelin' Nyborg -,Dames wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42 Goede pasvorm hiel mag iets smaller,,1
Geschreven bij Travelin' Nyborg -,Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 39 Schoen is perfect maar valt klein.Maat 39 net een half maatje te klein.,,1
"stevige schoen,valtwel klein",,,1
Geschreven bij Grisport Oregon Mid,Wandelschoenen Unisex - Blue - Maat 46 superfijne schoen. heel handige veter-vastzetter. veters kunnen haast niet onder het wandelen loskomen,,1
Geschreven bij The North Face,"M HEDGEHOG FASTPACK WP (EU) Wandelschoenen Mannen - Maat 46 Ik heb al jaren wandelschoenen van The North face en die bevallen uitstekend. Ze zijn licht aan de voeten, waterdicht en geschikt voor ruw terrein. En gaan lang mee.",,1
Geschreven bij Skechers Escape Plan,"2.0 Ashwick Heren Wandelschoenen - Blauw - Maat 44 Dit zijn echt prima wandelschoenen. Geweldige vering, genoeg stevigheid, goed ademend, lekker licht.",,1
Geschreven bij Skechers Escape Plan,2.0 Ashwick Heren Wandelschoenen - Grijs - Maat 46 Deze Skechers zijn veel steviger als andere Sketchers. Je hebt veel meer steun aan je voeten. Waardoor je er heerlijk mee kunt wandelen. En deze waren nog 20 euro goedkoper als de blauwe variant. Mooi mee genomen.,,1
Geschreven bij Skechers Escape Plan,"2.0 Ashwick Heren Wandelschoenen - Zwart - Maat 42 comfortabele wandelschoen, stevig, lichtgewicht en waterdicht",,1
Geschreven bij Skechers Escape Plan,"2.0 Ashwick Heren Wandelschoenen - Zwart - Maat 45 Lichte en comfortabele wandelschoen. Stylish ook. Zitten wat ruim, dus zeker géén laat groter nemen. Waterdicht bewezen!",,1
Geschreven bij Skechers Escape Plan,2.0 Ashwick Heren Wandelschoenen - Blauw - Maat 42 Het blijft toch balen als de schoenen een paar dagen later ruim €25.00 zijn afgeprijsd. Verder prima schoen.,,1
Geschreven bij The North Face,"W HEDGEHOG FASTPACK WP (EU) Dames Wandelschoenen - Maat 39 Fijne lichte schoen, wel 1 maat groter besteld dan dat ik normaal heb ivm uitzetten voeten",,1
Geschreven bij Kjelvik dames wandelschoenen,"categorie B - Blauw - Maat 40 - Uitneembare zool De prijs van de op 23 maart gekochte schoenen was 84,94 en de prijs werd op 29 maart gewijzigd in 69,94. Op de website: de onderste kleur is wit, maar wat ik heb ontvangen is grijs. Ik heb 2 cadeaubonnen gebruikt, dus ik kan de schoenen niet retourneren",,-1
Geschreven bij Travelin' Aborg -,"Dames Wandelschoenen - Waterdicht en ademend - Lichtgrijs leer - Maat 39 Heel aangenaam om het dragen ,en mooie wandelingen te doen in de bergen van Spanje",,1
Geschreven bij Travelin' Aborg -,"Dames Wandelschoenen - Waterdicht en ademend - Bruin leer - Maat 40 Dit is een stevige smalle wandelschoen waarin mijn voet en enkel goed gesteund worden. Het eerste kwartier had ik wat last van de stevige tong aan mijn scheenbeen maar door het gebruik ging dit snel over. Ik heb er de eerste keer al een wandeling van 15 km mee kunnen doen zonder pijn of blaren.Het is ook best een lichte schoen, hij ziet er veel robuuster uit. Ik ben blij met deze aankoop.",,1
Geschreven bij Salomon XA PRO,"3D GTX v8 Wandelschoenen Heren - Zwart - Maat 44 Goede schoen, maar na ruim een jaar laten het voorste deel van zool van beide schoenen los",,0
Geschreven bij Salomon XA PRO,3D v8 GTX Wandelschoenen Heren - Urban Chic/Zwart/Lime Punc - Maat 46 2/3 Zitten best prima,,0
Geschreven bij Salomon XA PRO,3D GTX v8 Wandelschoenen Heren - Zwart - Maat 42 wandelen gaat perfect met deze schoenen,,0
Niet kopen. Ze zitten veel,te goed.,,0
Geschreven bij Salomon XA PRO,3D GTX v8 Wandelschoenen Heren - Zwart - Maat 43 1/3 Zeer goeie kwaliteit,,0
Geschreven bij Salomon XA PRO,"3D GTX v8 Wandelschoenen Heren - Zwart - Maat 42 2/3 Ik heb deze schoenen pas een dag, maar nu al dik tevreden. Ik draag normaal gesproken 42 en heb hiervan 42 2/3 (!) besteld. Zit prima.",,0
Geschreven bij Meindl borneo ii,mfs- 8. Twee pluspunten: voldoet aan verwachting en goede kwaliteit.,,1
Geschreven bij Teva M Ridgeview,Low Wandelschoenen Heren - Zwart - Maat 45.5 Na ontvangst elke dag gedragen,,1
"Lopen lekker, geen blaar gehad.",,,1
Geschreven bij Skechers Selmen -,My Turf Dames Laarzen - Charcoal - Maat 39 Skethers altijd goed,,1
Geschreven bij Skechers Relment Daggett,"grijs wandelschoenen heren (204642 CHAR) Jammer, dit is zeker niet de schoen die een weldaad voor je voeten is. Had hem eigenlijk terug moeten sturen. Mooi van buiten maar zit mijn in elk geval niet lekker, heb geen slechte voeten, maat is goed maar deze schoenen veroorzaken zelfs pijn.",,0
Geschreven bij Travelin' Aborg -,"Dames Wandelschoenen - Waterdicht en ademend - Lichtgrijs leer - Maat 39 Heel aangenaam om het dragen ,en mooie wandelingen te doen in de bergen van Spanje",,1
Geschreven bij Travelin' Aborg -,"Dames Wandelschoenen - Waterdicht en ademend - Bruin leer - Maat 40 Dit is een stevige smalle wandelschoen waarin mijn voet en enkel goed gesteund worden. Het eerste kwartier had ik wat last van de stevige tong aan mijn scheenbeen maar door het gebruik ging dit snel over. Ik heb er de eerste keer al een wandeling van 15 km mee kunnen doen zonder pijn of blaren.Het is ook best een lichte schoen, hij ziet er veel robuuster uit. Ik ben blij met deze aankoop.",,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 45 Lang gezocht naar schoenen met een brede pasvorm en heb die met deze gevonden. Vooral de teenruimte is een verademing.,,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 42 Hele fijne wandelschoenen met brede pasvorm. Ik heb ze niet in hoeven lopen ze zaten meteen goed. Het herenmodel heeft een bredere pasvorm daarom heb ik hier voor gekozen.Helaas liet bij de vierde wandeling er een haakje los waar de veter om heen moet. Ik heb dit gemeld en kreeg heel snel antwoord. Ik krijg een paar nieuwe schoenen. Nu wist ik niet wat ik moest verwachten maar dit is boven verwachting. Dit is topservice !Dank jullie wel ToExplore.,,1
Geschreven bij Travelin' Nyborg -,"Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 43 fijne pasvorm, mooi materiaal",,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 43 Perfecte pasvorm en lopen lekker,,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42 Goede keus,,1
Geschreven bij Travelin' Nyborg -,"Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 43 Goeie wandelschoenen, zitten perfect. Reeds een aantal wandelingen mee gedaan intussen, enkel positieve ervaringen.",,1
Geschreven bij Grisport Torino Low,Wandelschoenen Unisex - Grey - Maat 39 Stevige wandelschoen. Geeft goede ondersteuning aan de enkels. Prijs kwaliteit is zeker zeer goed.Ik heb brede voeten en deze passen perfect. Maat 39 is effectief maat 39. En je kan er steunzolen inleggen want de zool is uitneembaar.,,1
Geschreven bij Grisport Torino Low,Wandelschoenen Unisex - Grey - Maat 38 Lekkere lichte schoenen met een goede prijs-kwaliteitverhouding. Lopen lekker,,1
Geschreven bij Grisport Torino Low,"Wandelschoenen Unisex - Grey - Maat 45 Zitten comfortabel, zijn stevig en hebben een leuk design, enige minpuntje is dat de veters iets langer hadden gemogen",,1
Geschreven bij Grisport Torino Low,"Wandelschoenen Unisex - Black - Maat 41 Ik heb deze schoenen nu 2 maanden en wat ben ik er blij mee. Ik heb kritische voeten; breed en steunzolen. Een goed zittende schoen vinden voor mijn voeten is ingewikkeld, maar gevonden nu ik deze schoenen heb. Lopen licht, zitten goed om mijn voet en kan er heerlijk op wandelen.",,1
Geschreven bij Grisport Torino Low,Wandelschoenen Unisex - Black - Maat 41 Zowel mijn hond als ikzelf zijn blij met deze soepele uitlaatschoenen,,1
Geschreven bij Grisport Torino Low,Wandelschoenen Unisex - Black - Maat 41 Schoen past precies om de voet. Geeft veel ondersteuning en is toch licht.,,1
Geschreven bij Columbia Woodburn II,Wandelschoenen Heren Waterdicht - Ademend - Bruin - Maat 42 Gewoon goed,,1
Geschreven bij Merrell Moab 2,"Mid Gore-Tex Wandelschoenen Mannen - Maat 46 Na wat opzoekwerk deze stappers gekozen. Blijken inderdaad zeer goed zittende wandelschoenen. Maar na een boswandeling in hevige regen blijken mijn nieuwe schoenen niet waterdicht. De rechter schoen liet water door waardoor een sok nat was. Contact opgenomen met leverancier Plutosport.nl. Moest de schoenen terug sturen, kreeg dezelfde dag nog een nieuw paar opgestuurd. Deden nergens moeilijk over! Super service!",,1
Geschreven bij Merrell Moab 2,"Mid Gore-Tex Wandelschoenen Mannen - Maat 46 In het begin klonk het alsof de schoenen te groot waren,nu piepen mijn zolen vreselijk irritant.",,1
Geschreven bij Merrell Moab 2,Mid Gore-Tex Wandelschoenen - Maat 43 - Mannen - zwart/grijs voor dagelijks gebruik aan te bevelen,,1
Geschreven bij Merrell Moab 2,"Mid Gore-Tex Wandelschoenen - Maat 43 - Mannen - zwart/grijs De Prijs kwaliteitsverhouding, om die reden al een aanrader",,1
Geschreven bij Merrell Moab 2,Mid Gore-Tex Wandelschoenen - Maat 43 - Mannen - zwart/grijs Prijs-kwaliteit is OK,,1
Geschreven bij Merrell Moab 2,"Mid Gore-Tex Wandelschoenen - Maat 42 - Mannen - zwart/grijs Stevige, lichte wandelschoen met goede grip op de ondergrond. Ook waterdicht.",,1
Geschreven bij Merrell Moab 2,"GTX Wandelschoenen Heren - Maat 44 Goeie schoen, kwaliteit moet nog blijken maar ze zitten vanaf het begin al goed. Inderdaad, wel een maat groter bestellen als je normaal hebt.",,1
Geschreven bij Merrell Moab 2,"GTX Wandelschoenen Heren - Maat 45 Ik heb eerder dit type schoen gehad, die zat fantastisch. Deze nieuwe schoen zit aanzienlijk minder lekker, bovendien maakt de linkerschoen bij het afwikkelen van de voet een irritant geluid, een soort knakkend geluid",,1
Geschreven bij Merrell Moab 2,"Gtx Wandelschoenen Heren - Beluga afgelopen zes jaar met zelfde sportschoenen gelopen, prima kwaliteit, daarom dezelfde teruggekocht",,1
Geschreven bij Merrell Moab 2,Gore-Tex Wandelschoenen - Maat 46 - Mannen - zwart/grijs Twee pluspunten: voldoet aan verwachting en goede kwaliteit.,,1
Geschreven bij Merrell J06039 -,"Volwassenen Heren wandelschoenenVrije tijdsschoenenWandelschoenen - Kleur: Grijs - Maat: 43 Ik ben al jarenlang drager van Merrell schoenen. De nood was er om te vernieuwen en daarom dit paar gekozen. Ze zijn stevig, veel steviger dan diegene die je in de decathlon koopt. Een goede zool en waterdicht of toch zo goed als.",,1
Geschreven bij Merrell J06039 -,Volwassenen Heren wandelschoenenVrije tijdsschoenenWandelschoenen - Kleur: Grijs - Maat: 43 Zeer goede kwaliteit voor zijn prijs.,,1
Geschreven bij Meindl Vakuum Ultra,Gore-tex Heren Wandelschoenen 2849-46 - Kleur Bruin - Maat 42.5 Schoen loopt heerlijk maar is na drie jaar niet intensief gebruik versleten. Zolen laten los van binnenwerk. Ik ben niet de enige die deze klacht heeft!Ook stiksels zijn al stuk geweest.,,-1
Geschreven bij Meindl Vakuum Ultra,Gore-tex Heren Wandelschoenen 2849-46 - Kleur Bruin - Maat 42.5 Ik gebruik dit merk al vele jaren. Loopt prima!,,-1
Geschreven bij Meindl Wandelschoenen Schoenen,"zitten heerlijk, en heb er veel vooraf gepast. Deze zaten het lekkerst en lopen na 5 jaar nog steeds fijn. Stiksels op de voorvoet laat al snel overal los, waardoor je schoenen geheel niet meer waterdicht zijn. Voor zoveel geld hoort dit niet. Klacht komt vaak voor.",,-1
Geschreven bij Meindl vakuum ultra,gtx 2849.46 Donkerbruin - Heren- uk 10.5 loopt lekker,,-1
Geschreven bij Meindl vakuum ultra,gtx 2849.46 Wandelschoenen Heren Donkerbruin - uk 9.0 Meindl wandelschoen. Voor mij nooit meer anders. Ze zijn prijzig maar qua kwaliteit en wsndelgenot het zeker waard.,,-1
Geschreven bij Meindl vakuum men,"ultra gtx 2849.46 dunkelbraun - uk 10.0 Stevige schoenen, zitten fijn en degelijk materiaal, let wel de ruimte bij tenen zijn voor gemiddeld naar gemiddeld groot. Maar zelf geen problemen mee.",,-1
Geschreven bij Meindl Veterschoenen Prima,wandelschoen,,1
Geschreven bij Meindl Veterschoenen Prima,degelijke wandelschoen,,1
fijne geweldige wandelschoen.,,,1
Geschreven bij Merrell J73705 -,"Volwassenen Heren wandelschoenenVrije tijdsschoenenWandelschoenen - Kleur: Bruin - Maat: 44 Mijn 5 de paar merrell's, wel eerdere modellen. Dit zijn echt top wandel vrije tijdsschoenen, voor normaal sportief terrein.Let bij Merrell wel goed op met de maten, een 44 is in feite bijna een 42,5 vallen idd klein uit.Bestel dit merk dus 1,5 maat groter! heb je een 42,5 in werkelijke schoenmaat, bestel maar een 44, dit is geen grapje! Nog een minpunt mijn laatste bestelling merrell's hebben meer dan een week door Polen gereisd...",,1
Geschreven bij Travelin' Aborg -,Lage Heren Wandelschoenen - Waterdicht en ademend - Donkergrijs - Maat 41 Zit goed aan de voet,,1
Goede wandelschoen met steun en,pasvorm. De binnen zool kan uitgenomen worden zodat je steunzolen kunt plaatsen.,,1
Geschreven bij Travelin' Aborg -,"Dames Wandelschoenen - Waterdicht en ademend - Lichtgrijs leer - Maat 39 Heel aangenaam om het dragen ,en mooie wandelingen te doen in de bergen van Spanje",,1
Geschreven bij Travelin' Aborg -,"Dames Wandelschoenen - Waterdicht en ademend - Bruin leer - Maat 40 Dit is een stevige smalle wandelschoen waarin mijn voet en enkel goed gesteund worden. Het eerste kwartier had ik wat last van de stevige tong aan mijn scheenbeen maar door het gebruik ging dit snel over. Ik heb er de eerste keer al een wandeling van 15 km mee kunnen doen zonder pijn of blaren.Het is ook best een lichte schoen, hij ziet er veel robuuster uit. Ik ben blij met deze aankoop.",,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 45 Lang gezocht naar schoenen met een brede pasvorm en heb die met deze gevonden. Vooral de teenruimte is een verademing.,,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 42 Hele fijne wandelschoenen met brede pasvorm. Ik heb ze niet in hoeven lopen ze zaten meteen goed. Het herenmodel heeft een bredere pasvorm daarom heb ik hier voor gekozen.Helaas liet bij de vierde wandeling er een haakje los waar de veter om heen moet. Ik heb dit gemeld en kreeg heel snel antwoord. Ik krijg een paar nieuwe schoenen. Nu wist ik niet wat ik moest verwachten maar dit is boven verwachting. Dit is topservice !Dank jullie wel ToExplore.,,1
Geschreven bij Travelin' Nyborg -,"Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 43 fijne pasvorm, mooi materiaal",,1
Perfecte pasvorm en lopen lekker,,,1
Geschreven bij Travelin' Nyborg -,Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42 Goede keus,,1
Geschreven bij Travelin' Nyborg -,"Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 43 Goeie wandelschoenen, zitten perfect. Reeds een aantal wandelingen mee gedaan intussen, enkel positieve ervaringen.",,1
Geschreven bij Travelin' Nyborg -,Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 42 Stevige en fijn zittende schoen,,1
Geschreven bij Travelin' Nyborg -,Dames wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42 Goede pasvorm hiel mag iets smaller,,1
Geschreven bij Travelin' Nyborg -,Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 39 Schoen is perfect maar valt klein.Maat 39 net een half maatje te klein.,,1
Geschreven bij Mocassins - Casual,"- Instappers - Dames - Maat 38 - YJ-2220 BLACK prachtige schoenen, ze zitten lekker en lopen lekker, zeker een aanrader.",,1
Geschreven bij Regatta Holcombe Wandelschoenen,Unisex - Grijs - Maat 36 Ik loop te soppen in de schoenen Deze zijn echt niet waterproof valt me heel erg tegen,,-1
Geschreven bij Regatta Holcombe Wandelschoenen,"Unisex - Blauw - Maat 39 Hoi, mijn dochter had deze schoenen gekregen omdat ze in de zomer op kamp ging. Na nog geen 4 maanden dragen vallen ze echt uit elkaar. De zolen zitten helemaal los bij allebei de schoenen.",,-1
Geschreven bij Regatta Holcombe Wandelschoenen,"Unisex - Grijs - Maat 31 Fijne, degelijke en waterdichte wandelschoenen die vanaf de eerste minuut lekker zitten, volgens mijn dochter.Vallen wel wat klein uit. Ik heb 2 maten groter genomen en die zitten goed (ze kan er nog iets in groeien).",,-1
Geschreven bij Regatta Holcombe Wandelschoenen,"Unisex - grijs; zwart; blauw; oranje - Maat 39 Ik heb voor mijn zoon gekocht, hij was blij mee, hij vindt super leuk cadeau",,-1
