ORDER_DETAIL_CODE,ORDER_DATE,ORDER_METHOD_CODE,PRODUCT_NUMBER,UNIT_SALE_PRICE
48638,2021-01-19,2,19,222.63
49118,2021-01-19,2,77,79.3
49127,2021-01-19,2,79,124.97
49150,2021-01-19,2,82,28.15
48532,2021-01-19,2,7,60.74
48631,2021-12-02,4,19,228.83
48702,2021-12-02,4,27,380.83
48763,2021-12-02,4,35,24.86
48807,2021-12-02,4,40,25.29
48946,2021-12-02,4,56,17.09
49137,2021-12-02,4,80,164.08
49157,2021-12-02,4,83,
48564,2021-12-02,4,11,314.8
48610,2021-12-02,4,16,2.05
48632,2021-02-25,7,19,
48670,2021-02-25,7,23,97.87
48766,2021-02-25,7,35,22.45
48799,2021-02-25,7,39,66.66
48822,2021-02-25,7,42,151.38
48892,2021-02-25,7,51,68.94
48924,2021-02-25,7,54,51.54
48987,2021-02-25,7,61,39.04
49116,2021-02-25,7,77,90.63
49230,2021-02-25,7,93,4.82
48488,2021-02-25,7,2,11.78
48494,2021-02-25,7,3,22.84
48633,2021-05-25,2,19,
48661,2021-05-25,2,,15.28
48706,2021-05-25,2,28,30.44
48810,2021-05-25,2,41,32.7
48826,2021-05-25,2,43,189.77
48850,2021-05-25,2,45,555.53
48856,2021-05-25,2,,73.55
49042,2021-05-25,2,67,177.75
49160,2021-05-25,2,83,92.56
49223,2021-05-25,2,,4.92
48563,2021-05-25,2,11,303.47
48634,2021-03-23,4,19,235.53
48697,2021-03-23,4,27,314.64
48786,2021-03-23,4,38,30.84
48939,2021-03-23,4,55,7.8
49140,2021-03-23,4,80,164.08
49189,2021-03-23,4,87,5.76
49274,2021-03-23,4,100,5.71
48595,2021-03-23,4,14,532.3
48635,2021-01-13,8,19,203.91
48691,2021-01-13,8,26,253.52
48753,2021-01-13,8,34,46.31
49035,2021-01-13,8,66,92.91
20.47,2021-01-13,8,82,30.71
49165,2021-01-13,8,84,113.73
49187,2021-01-13,8,86,5.76
48542,2021-01-13,8,8,134.63
48608,2021-01-13,8,16,2.05
48613,2021-01-13,8,17,84.41
48636,2021-10-07,5,19,245.66
48644,2021-10-07,5,20,112.9
48659,2021-10-07,5,22,15.28
48949,2021-10-07,5,57,38.97
48971,2021-10-07,5,59,59.25
49180,2021-10-07,5,85,258.32
48493,2021-10-07,5,3,22.84
48505,2021-10-07,5,4,7.15
48527,2021-10-07,5,7,65.23
48557,2021-10-07,5,10,17.4
48637,2021-02-11,3,19,245.66
48652,2021-02-11,3,21,36.34
48779,2021-02-11,3,37,47.88
48788,2021-02-11,3,38,30.84
48907,2021-02-11,3,52,
48922,2021-02-11,3,53,39.49
48967,2021-02-11,3,59,59.25
48597,2021-02-11,3,15,661.4
48639,2021-03-28,5,19,245.66
48707,2021-03-28,5,28,30.44
48764,2021-03-28,5,35,24.86
48787,2021-03-28,5,38,30.84
49000,2021-03-28,5,62,79.11
49130,2021-03-28,5,79,133.63
49213,2021-03-28,5,,6.92
48480,2021-03-28,5,1,
48530,2021-03-28,5,7,65.23
48598,2021-03-28,5,15,756.82
52824,2021-03-28,5,105,989.51
81052,2021-03-28,5,105,989.51
81054,2021-03-28,5,105,871.34
99600,2021-03-28,5,105,989.51
48640,2021-03-22,5,19,222.63
48947,2021-03-22,5,57,38.97
49039,2021-03-22,5,67,221.66
49169,2021-03-22,5,84,105.59
49175,2021-03-22,5,85,270.2
49220,2021-03-22,5,91,4.19
49246,2021-03-22,5,95,5.15
49269,2021-03-22,5,99,4.19
48486,2021-03-22,5,1,6.03
48507,2021-03-22,5,4,6.63
48641,2021-12-12,5,20,112.9
48668,2021-12-12,5,23,97.87
49176,2021-12-12,5,85,279.61
48502,2021-12-12,5,3,22.84
48569,2021-12-12,5,,323.7
48642,2021-07-31,8,20,112.9
48669,2021-07-31,8,23,97.87
49191,2021-07-31,8,87,5.76
49204,2021-07-31,8,89,6.96
48482,2021-07-31,8,1,6.03
48546,2021-07-31,8,9,12.15
48584,2021-07-31,8,13,490.44
48643,2021-10-13,4,20,104.83
48678,2021-10-13,4,24,
48805,2021-10-13,4,40,23.51
48812,2021-10-13,4,41,30.81
48851,2021-10-13,4,45,509.25
48909,2021-10-13,4,52,32.11
49174,2021-10-13,4,85,270.2
48477,2021-10-13,4,1,
48496,2021-10-13,4,3,21.27
48523,2021-10-13,4,20,114.58
48609,2021-10-13,4,16,1.79
48615,2021-10-13,4,17,78.37
48645,2021-01-25,4,20,80.63
48665,2021-01-25,4,23,97.87
48760,2021-01-25,4,34,46.31
48800,2021-01-25,4,39,66.66
48852,2021-01-25,4,45,445.04
48895,2021-01-25,4,51,68.94
48957,2021-01-25,4,58,79.65
49158,2021-01-25,4,,92.56
49250,2021-01-25,4,96,22.92
49261,2021-01-25,4,98,5.82
48646,2021-12-12,4,20,112.9
48699,2021-12-12,4,27,400.3
48765,2021-12-12,4,35,24.86
48834,2021-12-12,4,43,189.77
48862,2021-12-12,4,47,63.49
48959,2021-12-12,4,58,79.65
48989,2021-12-12,4,61,39.04
49037,2021-12-12,4,67,
48481,2021-12-12,4,1,5.26
48579,2021-12-12,4,13,473.57
48647,2021-03-26,5,20,112.9
48653,2021-03-26,5,21,36.34
49008,2021-03-26,5,63,45.97
49072,2021-03-26,5,71,90.76
48508,2021-03-26,5,4,5.8
48573,2021-03-26,5,12,621.85
48648,2021-02-06,2,20,104.83
48651,2021-02-06,2,21,34.83
48662,2021-02-06,2,22,14.01
48673,2021-02-06,2,23,89.72
48761,2021-02-06,2,34,41.97
48808,2021-02-06,2,40,23.51
48865,2021-02-06,2,47,58.56
48910,2021-02-06,2,52,36
49032,2021-02-06,2,66,81.3
49113,2021-02-06,2,77,79.3
49262,2021-02-06,2,98,
48650,2021-08-24,,21,36.34
48698,2021-08-24,,27,441.8
48809,2021-08-24,,41,32.7
48995,2021-08-24,,62,79.11
4.75,2021-08-24,,88,49197
49210,2021-08-24,,90,6.92
49221,2021-08-24,,91,4.92
48539,2021-08-24,,8,78.26
48575,2021-08-24,,12,
48654,2021-08-07,4,21,34.83
48741,2021-08-07,4,32,23.2
48774,2021-08-07,4,36,27.6
48791,2021-08-07,4,38,28.27
48819,2021-08-07,4,42,138.77
68.3,2021-08-07,4,46,48858
49148,2021-08-07,4,82,20.47
49217,2021-08-07,4,91,4.19
49260,2021-08-07,4,98,5.09
49267,2021-08-07,4,99,1.97
48655,2021-11-28,7,21,34.83
48696,2021-11-28,7,27,392.72
48758,2021-11-28,7,34,41.97
49044,2021-11-28,7,67,221.66
48656,2021-10-12,1,21,36.34
49056,2021-10-12,1,69,104.54
48551,2021-10-12,1,9,12.15
48561,2021-10-12,1,10,17.4
48586,2021-10-12,1,13,493.98
48657,2021-12-23,5,22,15.28
48695,2021-12-23,5,26,326.86
48704,2021-12-23,5,27,441.8
48797,2021-12-23,5,39,66.66
48817,2021-12-23,5,42,151.38
48824,2021-12-23,5,43,156.83
48836,2021-12-23,5,44,292.3
48864,2021-12-23,5,47,63.49
48893,2021-12-23,5,51,68.94
48977,2021-12-23,5,60,19.78
48999,2021-12-23,5,,79.11
49166,2021-12-23,5,84,
48658,2021-02-10,2,,14.01
48701,2021-02-10,2,,392.72
28.92,2021-02-10,2,28,48712
48861,2021-02-10,2,47,43.77
48879,2021-02-10,2,49,27.5
48917,2021-02-10,2,53,36.66
48951,2021-02-10,2,57,68.2
48985,2021-02-10,2,61,34.15
49103,2021-02-10,2,75,83.94
48536,2021-02-10,2,8,
48663,2021-09-14,2,22,15.28
48705,2021-09-14,2,27,
48776,2021-09-14,2,36,
48872,2021-09-14,2,48,107.86
48880,2021-09-14,2,50,3.92
48980,2021-09-14,2,60,19.78
49244,2021-09-14,2,95,5.88
48593,2021-09-14,2,14,590.28
48664,2021-08-10,7,23,89.72
48743,2021-08-10,7,33,25.03
48782,2021-08-10,7,37,43.38
48818,2021-08-10,7,42,138.77
48871,2021-08-10,7,48,94.37
48911,2021-08-10,7,52,32.11
5.84,2021-08-10,7,89,49208
49233,2021-08-10,7,108,4.09
48531,2021-08-10,7,7,60.74
48572,2021-08-10,7,12,596.47
48666,2021-03-14,2,23,97.87
48689,2021-03-14,2,26,326.86
48835,2021-03-14,2,44,298.79
48932,2021-03-14,2,55,7.8
48954,2021-03-14,2,57,77.94
49096,2021-03-14,2,75,
49212,2021-03-14,2,90,
49243,2021-03-14,2,95,5.88
48489,2021-03-14,2,2,12.13
48667,2021-12-05,1,23,97.87
48497,2021-12-05,1,3,22.84
48603,2021-12-05,1,16,2.05
48671,2021-08-12,5,23,97.87
48676,2021-08-12,5,24,68.08
49059,2021-08-12,5,69,104.54
49083,2021-08-12,5,73,12.15
49090,2021-08-12,5,74,16.02
49190,2021-08-12,5,87,5.76
48554,2021-08-12,5,10,17.4
48672,2021-07-23,5,23,97.87
48792,2021-07-23,5,80,30.84
48829,2021-07-23,5,43,189.77
48913,2021-07-23,5,53,39.49
48953,2021-07-23,5,57,77.94
49097,2021-07-23,5,75,115.84
49200,2021-07-23,5,88,6.73
48535,2021-07-23,5,8,134.63
48674,2021-10-13,3,24,76.73
48813,2021-10-13,3,41,32.7
48821,2021-10-13,3,42,151.38
48854,2021-10-13,3,,
48921,2021-10-13,3,,39.49
48961,2021-10-13,3,58,79.65
48972,2021-10-13,3,59,59.25
49031,2021-10-13,3,,92.91
48606,2021-10-13,3,16,2.05
48675,2021-10-10,5,24,76.73
48770,2021-10-10,5,36,26.69
48778,2021-10-10,5,37,47.88
48838,2021-10-10,5,44,341.54
48900,2021-10-10,5,51,44.84
48931,2021-10-10,5,54,51.54
48964,2021-10-10,5,,59.25
49112,2021-10-10,5,77,90.63
48677,2021-09-17,5,24,70.16
49014,2021-09-17,5,64,40.2
49049,2021-09-17,5,,60.06
49142,2021-09-17,5,81,83.98
48547,2021-09-17,5,,12.15
48679,2021-10-23,5,42,73.54
48725,2021-10-23,5,,11.88
49015,2021-10-23,5,64,35.18
49143,2021-10-23,5,81,73.48
49151,2021-10-23,5,82,
49300,2021-10-23,5,103,446.92
49380,2021-10-23,5,113,10.53
48680,2021-12-24,4,24,178
49141,2021-12-24,4,,164.08
49278,2021-12-24,4,101,425.44
49315,2021-12-24,4,105,1098.3
49354,2021-12-24,4,109,35.15
48681,2021-03-30,,24,73.54
48734,2021-03-30,,31,13.64
49146,2021-03-30,,81,73.48
49177,2021-03-30,,,270.2
49203,2021-03-30,,89,5.84
49253,2021-03-30,,96,22.92
49358,2021-03-30,,110,106.12
48682,2021-03-27,2,25,236.74
48724,2021-03-27,2,30,11.88
49021,2021-03-27,2,64,35.18
49124,2021-03-27,2,78,98.2
49205,2021-03-27,2,89,5.84
49252,2021-03-27,2,96,21.28
613.27,2021-03-27,2,104,49308
48683,2021-02-07,7,,237.72
48740,2021-02-07,7,32,25.31
49068,2021-02-07,7,71,90.76
48686,2021-01-18,7,,236.74
49007,2021-01-18,7,63,42.13
49041,2021-01-18,7,67,221.66
49062,2021-01-18,7,,40
49206,2021-01-18,7,89,5.84
48687,2021-03-19,2,25,213.57
48748,2021-03-19,2,,20.89
49292,2021-03-19,2,102,508.89
49312,2021-03-19,2,105,1227.96
49362,2021-03-19,2,110,121.29
48688,2021-09-14,4,25,207.96
48720,2021-09-14,4,29,71.02
48731,2021-09-14,4,31,15.6
49046,2021-09-14,4,68,60.06
49255,2021-09-14,4,97,34.77
48690,2021-02-21,7,26,299.63
48759,2021-02-21,7,34,41.97
48785,2021-02-21,7,37,43.38
48789,2021-02-21,7,38,28.27
48827,2021-02-21,7,,173.94
48937,2021-02-21,7,55,6.82
48942,2021-02-21,7,,14.94
48966,2021-02-21,7,59,55.84
48515,2021-02-21,7,5,50.02
48553,2021-02-21,7,10,15.61
48692,2021-05-23,7,100,299.63
48863,2021-05-23,7,47,58.56
48869,2021-05-23,7,48,94.37
48950,2021-05-23,7,57,68.2
49115,2021-05-23,7,77,79.3
49214,2021-05-23,7,,5.82
48492,2021-05-23,7,2,11.43
16.54,2021-05-23,7,3,21.27
48587,2021-05-23,7,13,502.98
48694,2021-05-30,3,26,326.86
48783,2021-05-30,3,37,47.88
48796,2021-05-30,3,39,66.66
48840,2021-05-30,3,44,314.8
48848,2021-05-30,3,45,417.95
48970,2021-05-30,3,59,59.25
48993,2021-05-30,3,61,39.04
49247,2021-05-30,3,,208
49273,2021-05-30,3,100,5.57
48520,2021-05-30,3,6,123.56
48703,2021-01-31,2,27,392.72
49129,2021-01-31,2,79,124.97
49155,2021-01-31,2,82,28.15
48708,2021-08-01,7,28,30.44
48772,2021-08-01,7,36,30.64
48828,2021-08-01,7,43,189.77
48898,2021-08-01,7,8,68.94
48998,2021-08-01,7,62,79.11
49100,2021-08-01,7,75,115.84
49184,2021-08-01,7,86,5.76
48566,2021-08-01,7,11,354.29
48709,2021-09-12,5,28,28.92
48815,2021-09-12,5,41,30.81
48956,2021-09-12,5,58,73.95
49005,2021-09-12,5,62,70.95
49161,2021-09-12,5,83,83.88
49263,2021-09-12,5,98,5.09
49272,2021-09-12,5,100,5.01
48516,2021-09-12,5,5,37.81
48580,2021-09-12,5,13,502.98
48710,2021-02-18,4,28,30.44
49283,2021-02-18,4,101,416.22
49378,2021-02-18,4,112,9.01
49399,2021-02-18,4,115,10.03
48711,2021-04-24,5,28,30.44
49201,2021-04-24,5,88,6.73
49279,2021-04-24,5,101,
49314,2021-04-24,5,105,1015.59
49336,2021-04-24,5,107,1144.32
49353,2021-04-24,5,109,63.27
48713,2021-03-29,,29,71.02
49064,2021-03-29,,70,122.06
48714,2021-02-06,7,29,71.02
48722,2021-02-06,7,30,13.57
49382,2021-02-06,7,113,12.05
48715,2021-04-23,2,29,63.72
48730,2021-04-23,2,31,13.64
49034,2021-04-23,2,66,81.3
49045,2021-04-23,2,68,56.59
49081,2021-04-23,2,73,11.28
49183,2021-04-23,2,86,4.8
49199,2021-04-23,2,88,5.53
49240,2021-04-23,2,94,4.07
48529,2021-04-23,2,7,60.74
48716,2021-01-04,3,29,71.02
48728,2021-01-04,3,30,13.57
48747,2021-01-04,3,33,27.3
48478,2021-01-04,3,1,6.03
48524,2021-01-04,3,6,123.56
48717,2021-04-17,8,29,128
49023,2021-04-17,8,65,68.25
49106,2021-04-17,8,76,35.9
49123,2021-04-17,8,78,98.2
49179,2021-04-17,8,85,270.2
49236,2021-04-17,8,94,4.07
49320,2021-04-17,8,105,1060.52
49326,2021-04-17,8,106,882.35
49364,2021-04-17,8,111,155.58
48718,2021-09-30,3,29,63.72
49055,2021-09-30,3,69,95.83
49071,2021-09-30,3,71,83.19
48526,2021-09-30,3,6,114.58
48588,2021-09-30,3,14,581.19
48719,2021-07-13,7,29,71.02
49089,2021-07-13,7,74,16.02
49131,2021-07-13,7,79,133.63
49144,2021-07-13,7,81,83.98
49317,2021-07-13,7,105,758.14
49348,2021-07-13,7,108,862.9
49349,2021-07-13,7,,63.27
48723,2021-10-15,7,30,13.57
49019,2021-10-15,7,64,40.2
49304,2021-10-15,7,104,705.69
49359,2021-10-15,7,110,
49365,2021-10-15,7,111,180.13
49373,2021-10-15,7,112,9.01
48726,,7,30,13.57
49087,,7,73,12.15
49224,,7,92,4.92
49239,,7,,4.78
49259,,7,97,34.77
49309,,7,104,705.69
49318,,7,105,931.76
49386,,7,,12.05
48727,2021-11-24,2,30,13.57
48739,2021-11-24,2,32,25.31
49307,2021-11-24,2,104,705.69
49341,2021-11-24,2,108,862.9
49397,2021-11-24,2,115,10.03
48729,2021-01-22,3,31,15.6
49122,2021-01-22,3,78,103.37
49376,2021-01-22,3,112,9.01
48732,2021-06-30,4,31,15.6
48750,2021-06-30,4,,27.3
49228,2021-06-30,4,92,4.92
49339,2021-06-30,4,108,862.9
48733,,5,31,13.64
49082,,5,73,11.28
49288,,5,,489.04
49340,,5,108,12
48735,2021-10-02,4,31,13.64
49026,2021-10-02,4,65,68.25
49104,2021-10-02,4,,76
49121,2021-10-02,4,78,98.2
49286,2021-10-02,4,101,489.04
49322,2021-10-02,4,106,882.35
49381,2021-10-02,4,113,10.53
48737,2021-05-24,2,32,19.87
49211,2021-05-24,2,90,6.92
49226,2021-05-24,2,92,1.97
48511,2021-05-24,2,4,7.15
48738,2021-07-07,5,32,
49355,2021-07-07,5,109,63.27
48749,2021-06-04,5,33,21.15
48833,2021-06-04,5,43,161.83
49171,2021-06-04,5,84,113.73
49207,2021-06-04,5,89,6.96
48500,2021-06-04,5,3,
48512,2021-06-04,5,5,54.09
48543,2021-06-04,5,8,134.63
48752,2021-09-25,7,34,46.31
48798,2021-09-25,7,39,66.66
48804,2021-09-25,7,40,21.93
49186,2021-09-25,7,86,5.76
48755,2021-04-16,2,34,46.31
48803,2021-04-16,2,40,25.29
49149,2021-04-16,2,82,30.71
49222,2021-04-16,2,91,4.92
48565,2021-04-16,2,11,320.36
48581,2021-04-16,2,13,473.66
48602,2021-04-16,2,15,691.17
48612,2021-04-16,2,17,84.41
48767,2021-05-15,7,35,24.86
49229,2021-05-15,7,92,4.92
49264,2021-05-15,7,98,5.82
48771,2021-04-03,7,36,27.6
49117,2021-04-03,7,77,79.3
49225,2021-04-03,7,92,
48578,2021-04-03,7,13,502.98
48611,2021-04-03,7,17,78.37
48777,2021-09-07,7,36,27.6
48583,2021-09-07,7,13,502.98
48605,2021-09-07,7,16,2.05
48784,2021-12-18,2,104,43.38
48839,2021-12-18,2,44,26
48915,2021-12-18,2,53,36.66
48984,2021-12-18,2,61,34.15
48484,2021-12-18,2,1,5.53
48601,2021-12-18,2,15,693.75
48790,2021-03-19,5,38,28.27
48837,2021-03-19,5,44,313.08
48866,2021-03-19,5,47,58.56
48886,2021-03-19,5,50,3.43
48916,2021-03-19,5,53,36.66
48941,2021-03-19,5,56,14.94
48974,2021-03-19,5,60,17.29
49196,2021-03-19,5,88,4.92
49219,2021-03-19,5,91,
48510,2021-03-19,5,4,6.63
48521,2021-03-19,5,6,114.58
48570,2021-03-19,5,,328.98
48801,2021-06-29,7,40,
48884,2021-06-29,7,50,3.92
48963,2021-06-29,7,58,79.65
48997,2021-06-29,7,62,79.11
49152,2021-06-29,7,82,30.71
49248,2021-06-29,7,95,5.88
49265,2021-06-29,7,98,5.82
49268,2021-06-29,7,99,1.97
48495,2021-06-29,7,3,22.84
48552,2021-06-29,7,9,12.15
48806,2021-11-16,7,40,25.29
48811,2021-11-16,7,41,32.7
48823,2021-11-16,7,42,151.38
48878,2021-11-16,7,49,48
48925,2021-11-16,7,54,51.54
49235,2021-11-16,7,,4.82
49271,2021-11-16,7,99,4.94
49277,2021-11-16,7,100,5.71
48491,2021-11-16,7,2,12.13
48504,2021-11-16,7,4,5.11
48513,2021-11-16,7,5,54.09
48538,2021-11-16,7,,134.63
48562,2021-11-16,7,11,354.29
48814,2021-06-22,2,41,32.7
49162,2021-06-22,2,83,92.56
49164,2021-06-22,2,84,113.73
49242,2021-06-22,2,95,5.88
48483,2021-06-22,2,1,6.03
48820,2021-03-30,2,42,151.38
48830,2021-03-30,2,43,189.77
48896,2021-03-30,2,51,68.94
48825,2021-09-14,4,43,189.77
48891,2021-09-14,4,50,2.7
48926,2021-09-14,4,54,51.54
48831,2021-02-08,2,43,158.3
49077,2021-02-08,2,72,147.57
48832,2021-04-16,4,,28
48890,2021-04-16,4,50,3.92
48930,2021-04-16,4,54,51.54
49076,2021-04-16,4,72,147.57
113638,2021-04-16,4,69,104.54
113643,2021-04-16,4,84,113.75
48843,2021-05-27,5,44,341.54
48870,2021-05-27,5,48,18
48960,2021-05-27,5,58,79.65
48978,2021-05-27,5,60,19.78
48844,2021-03-19,7,45,555.53
48882,2021-03-19,7,50,2.69
49075,2021-03-19,7,72,147.57
48845,2021-10-21,7,45,555.53
48906,2021-10-21,7,52,36.7
48847,2021-05-22,3,45,531.34
48875,2021-05-22,3,49,31.42
49074,2021-05-22,3,72,147.57
48849,2021-01-04,4,45,485.13
48857,2021-01-04,4,46,73.55
48903,2021-01-04,4,52,36.7
48855,2021-05-26,2,46,52.54
48955,2021-05-26,2,57,77.94
48983,2021-05-26,2,60,19.78
48859,2021-05-24,1,47,63.49
48876,2021-05-24,1,49,31.42
48887,2021-05-24,1,50,3.92
48935,2021-05-24,1,55,7.8
48952,2021-05-24,1,57,77.94
48996,2021-05-24,1,62,79.11
48860,2021-12-02,,47,63.49
48868,2021-10-12,2,48,107.86
49276,2021-10-12,2,100,5.71
48528,2021-10-12,2,7,65.23
48534,2021-10-12,2,8,134.63
48592,2021-10-12,2,14,588.5
48873,2021-11-19,7,48,107.86
48914,2021-11-19,7,53,39.49
48976,2021-11-19,7,60,19.78
48877,2021-09-15,2,49,31.42
48889,2021-09-15,2,50,3.92
48899,2021-09-15,2,51,68.94
48888,2021-01-19,7,50,2.83
48908,2021-01-19,7,52,36.7
48938,2021-01-19,7,55,7.8
49078,2021-01-19,7,72,147.57
113648,2021-01-19,7,69,104.54
113649,2021-01-19,7,84,104.98
48902,2021-04-04,7,52,36.7
48936,2021-04-04,7,55,7.8
49079,2021-04-04,7,72,147.57
48904,2021-02-14,4,52,36.7
48905,2021-10-18,5,,36.7
48933,2021-10-18,5,55,7.8
48982,2021-10-18,5,60,
48991,2021-10-18,5,61,39.04
48912,2021-11-26,5,53,39.49
48973,2021-11-26,5,60,19.78
48918,2021-12-11,7,53,39.49
48940,2021-12-11,7,56,17.09
48981,2021-12-11,7,60,19.78
48927,2021-12-15,2,54,51.54
48945,2021-12-15,2,56,17.09
48958,2021-12-15,2,58,79.65
49003,2021-12-15,2,62,79.11
48944,2021-06-11,5,56,17.09
48948,2021-06-11,5,57,77.94
48968,2021-06-11,5,,59.25
49004,2021-06-11,5,54,79.11
49080,2021-06-11,5,,147.57
48962,2021-10-05,7,58,79.65
48965,2021-10-05,7,59,59.25
49001,2021-10-05,7,62,79.11
48988,2021-04-25,2,61,39.04
49006,2021-09-30,4,63,45.97
49095,2021-09-30,4,74,16.02
49192,2021-09-30,4,87,5.76
49310,2021-09-30,4,104,705.69
49390,2021-09-30,4,114,199.27
49009,2021-02-03,5,63,45.97
49010,2021-09-05,2,63,45.97
49094,2021-09-05,2,74,16.02
49195,2021-09-05,2,88,6.73
49306,2021-09-05,2,2,705.69
49332,2021-09-05,2,107,1144.32
49350,2021-09-05,2,109,63.27
49011,2021-01-20,7,63,42.13
49013,2021-01-20,7,64,35.18
49024,2021-01-20,7,65,68.25
49147,2021-01-20,7,81,73.48
49299,2021-01-20,7,103,446.92
49305,2021-01-20,7,104,613.27
49321,2021-01-20,7,105,1060.52
49388,2021-01-20,7,114,169.38
49012,2021-07-18,7,,40.2
49054,2021-07-18,7,69,104.54
49232,2021-07-18,7,93,4.82
48509,2021-07-18,7,,4
48550,2021-07-18,7,9,12.15
48585,2021-07-18,7,13,498.55
49017,2021-01-23,2,64,40.2
49331,2021-01-23,2,106,992.65
49335,2021-01-23,2,107,1144.32
49018,2021-09-29,4,64,
49257,2021-09-29,4,97,34.77
49297,2021-09-29,4,103,502.79
49356,2021-09-29,4,110,121.29
49375,2021-09-29,4,112,9.01
49391,2021-09-29,4,,199.27
49020,2021-06-02,5,64,40.2
49227,2021-06-02,5,92,4.92
49370,2021-06-02,5,111,180.13
49022,2021-09-06,7,65,78
49107,2021-09-06,7,76,40.02
49193,2021-09-06,7,87,5.76
49285,2021-09-06,7,101,550.16
49025,2021-12-06,7,39,78
49048,2021-12-06,7,68,60.06
49069,2021-12-06,7,71,90.76
49238,2021-12-06,7,94,90
48594,2021-12-06,7,14,543.03
49028,2021-04-07,2,65,68.25
49345,2021-04-07,2,,767.02
49392,2021-04-07,2,114,169.38
49030,2021-01-23,4,65,78
49135,2021-01-23,4,80,164.08
49185,2021-01-23,4,86,5.76
49237,2021-01-23,4,94,4.78
49254,2021-01-23,4,96,22.92
49334,2021-01-23,4,107,1144.32
49036,2021-11-30,3,66,92.91
48544,2021-11-30,3,8,134.63
