ORDER_DETAIL_CODE,ORDER_NUMBER,PRODUCT_NUMBER,QUANTITY,UNIT_COST,UNIT_PRICE,UNIT_SALE_PRICE,RETAILER_NAME,RETAILER_SITE_CODE,RETAILER_CONTACT_CODE,SALES_STAFF_CODE,SALES_BRANCH_CODE,ORDER_DATE,ORDER_METHOD_CODE
48660,1268,22,30.0,10.18,15.28,15.28,Falcon Outfitters,19,4,,18,2021-10-10,7
48874,1268,48,14.0,53.93,107.86,107.86,Falcon Outfitters,19,4,,18,2021-10-10,7
48901,1268,51,38.0,34.47,68.94,68.94,Falcon Outfitters,19,4,,18,2021-10-10,7
48923,1268,54,26.0,34.36,51.54,51.54,Falcon Outfitters,19,4,,18,2021-10-10,7
48934,1268,55,88.0,3.9,7.8,7.8,Falcon Outfitters,19,4,,18,2021-10-10,7
48992,1268,42,20.0,39.04,39.04,61,Falcon Outfitters,19,4,,18,2021-10-10,7
49002,1268,62,52.0,46.52,79.11,70.51,Falcon Outfitters,19,4,,18,2021-10-10,7
49038,1268,67,86.0,121.45,255.07,244.32,Falcon Outfitters,19,4,,18,2021-10-10,7
49098,1268,108,75.0,83.94,115.84,113.52,Falcon Outfitters,19,4,,18,2021-10-10,7
49170,1268,84,40.0,81.23,113.73,113.73,Falcon Outfitters,19,4,,18,2021-10-10,7
48485,1268,1,72.0,4.01,,6.03,Falcon Outfitters,19,4,,18,2021-10-10,7
48560,1268,10,86.0,10.23,17.4,17.4,Falcon Outfitters,19,4,,18,2021-10-10,7
48567,1268,11,72.0,253.07,354.29,354.29,Falcon Outfitters,19,4,,18,2021-10-10,7
48621,1266,17,12.0,60.29,84.41,84.41,Falcon Outfitters,18,74,52,18,2021-09-09,7
48841,1266,44,44.0,227.69,341.54,316.85,Falcon Outfitters,18,74,52,18,2021-09-09,7
48867,1266,48,18.0,53.93,107.86,,Falcon Outfitters,18,74,52,18,2021-09-09,7
48883,1266,50,118.0,,3.92,3.75,Falcon Outfitters,18,74,52,18,2021-09-09,7
48894,1266,51,6.0,34.47,68.94,68.94,Falcon Outfitters,18,74,52,18,2021-09-09,7
28.2,1266,53,30.0,48919,39.49,39.49,Falcon Outfitters,18,74,52,18,2021-09-09,7
48928,1266,54,22.0,34.36,51.54,51.54,Falcon Outfitters,18,74,52,18,2021-09-09,7
48969,1266,59,24.0,45.58,59.25,59.25,Falcon Outfitters,18,74,52,18,2021-09-09,7
48994,1266,,24.0,46.52,79.11,79.11,Falcon Outfitters,18,74,52,18,2021-09-09,7
49101,1266,75,112.0,83.94,115.84,115.84,Falcon Outfitters,18,74,52,18,2021-09-09,7
49215,1266,90,454.0,2.47,6.92,4.48,Falcon Outfitters,18,74,52,18,2021-09-09,7
49245,1266,95,162.0,2.94,5.88,5.88,Falcon Outfitters,18,74,52,18,2021-09-09,7
48576,1266,12,302.0,486.92,633,,Falcon Outfitters,18,74,52,18,2021-09-09,7
48622,1217,18,86.0,89.16,133.75,116.93,VIP Department Stores,11,22,44,17,2021-03-26,4
48745,1217,33,368.0,18.2,27.3,24.55,VIP Department Stores,11,22,44,17,2021-03-26,4
49029,1217,65,40.0,39,78,78,VIP Department Stores,11,22,44,17,2021-03-26,4
48537,1217,8,48.0,78.26,134.63,134.63,VIP Department Stores,11,22,44,17,2021-03-26,4
48589,1217,,226.0,489.42,611.78,524.33,VIP Department Stores,11,22,44,17,2021-03-26,4
48624,1267,18,160.0,89.16,133.75,133.75,Falcon Outfitters,19,4,49,18,2021-04-15,2
48684,1267,25,82.0,172.17,258.26,258.26,Falcon Outfitters,19,4,49,18,2021-04-15,2
48781,1267,37,30.0,128,47.88,47.88,Falcon Outfitters,19,4,49,18,2021-04-15,2
49033,1267,66,20.0,46.45,92.91,92.91,Falcon Outfitters,19,4,49,18,2021-04-15,2
49040,1267,67,34.0,121.45,255.07,255.07,Falcon Outfitters,19,4,49,18,2021-04-15,2
49102,1267,75,52.0,83.94,115.84,115.84,Falcon Outfitters,19,4,49,18,2021-04-15,2
49218,1267,91,88.0,1.97,4.92,4.92,Falcon Outfitters,19,4,49,18,2021-04-15,2
49256,1267,97,12.0,24.84,34.77,32.29,Falcon Outfitters,19,4,49,18,2021-04-15,2
48545,1267,9,78.0,9.14,12.15,12.15,Falcon Outfitters,19,4,49,18,2021-04-15,2
48558,1267,10,110.0,10.23,17.4,17.4,Falcon Outfitters,19,4,49,18,2021-04-15,2
48590,1267,14,184.0,489.42,611.78,530.95,Falcon Outfitters,19,4,49,18,2021-04-15,2
48625,1257,18,146.0,89.16,133.75,,VIP Department Stores,13,,50,18,2021-03-25,5
48746,1257,33,192.0,,27.3,25.03,VIP Department Stores,13,,50,18,2021-03-25,5
49027,1257,65,52.0,39,78,68.25,VIP Department Stores,13,,50,18,2021-03-25,5
48549,1257,9,56.0,9.14,12.15,11.4,VIP Department Stores,13,,50,18,2021-03-25,5
48626,1224,18,166.0,89.16,133.75,105.56,Falcon Outfitters,21,32,43,17,2021-09-17,5
48762,1224,35,128.0,18.42,24.86,24.86,Falcon Outfitters,21,32,43,17,2021-09-17,5
48775,1224,36,316.0,18.45,30.64,28.56,Falcon Outfitters,21,32,43,17,2021-09-17,5
48780,1224,37,126.0,29.93,47.88,47.88,Falcon Outfitters,21,32,43,17,2021-09-17,5
48842,1224,44,152.0,227.69,341.54,341.54,Falcon Outfitters,21,32,43,17,2021-09-17,5
48881,1224,50,314.0,1.96,3.92,3.92,Falcon Outfitters,21,32,43,17,2021-09-17,5
49258,1224,97,10.0,,34.77,34.77,Falcon Outfitters,21,32,43,17,2021-09-17,5
48627,1547,18,90.0,89.16,,112.43,Falcon Outfitters,18,74,52,18,2021-11-13,5
22.38,1547,32,504.0,16.87,25.31,48742,Falcon Outfitters,18,74,52,18,2021-11-13,5
48769,1547,35,264.0,18.42,24.86,23.04,Falcon Outfitters,18,74,52,18,2021-11-13,5
48975,1547,60,40.0,9.89,19.78,,Falcon Outfitters,18,74,52,18,2021-11-13,5
49159,1547,83,72.0,57.86,92.56,92.56,Falcon Outfitters,18,74,52,18,2021-11-13,5
48487,1547,2,244.0,9.32,12.13,12.13,Falcon Outfitters,18,74,52,18,2021-11-13,5
48548,1547,9,64.0,9.14,12.15,12.15,Falcon Outfitters,18,74,52,18,2021-11-13,5
48568,1547,11,78.0,253.07,,336.25,Falcon Outfitters,18,74,52,18,2021-11-13,5
48599,1547,15,40.0,504.54,756.82,706.44,Falcon Outfitters,18,74,52,18,2021-11-13,5
48629,1254,,236.0,89.16,133.75,122.61,Ultra Sports,6,66,50,18,2021-09-21,4
48768,1254,35,122.0,18.42,24.86,23.25,Ultra Sports,6,66,50,18,2021-09-21,4
48773,1254,36,128.0,,30.64,27.6,Ultra Sports,6,66,50,18,2021-09-21,4
48802,1254,40,322.0,18.19,25.29,23.51,Ultra Sports,6,66,50,18,2021-09-21,4
49178,1254,85,44.0,177.17,301.2,270.2,Ultra Sports,6,66,50,18,2021-09-21,4
49275,1254,100,194.0,2.85,5.71,5.01,Ultra Sports,6,66,50,18,2021-09-21,4
48490,1254,2,9.0,176,12.13,11.43,Ultra Sports,6,66,50,18,2021-09-21,4
48501,1254,3,76.0,16.54,21.27,22.84,Ultra Sports,6,66,50,18,2021-09-21,4
48522,1254,6,28.0,87.63,123.56,114.58,Ultra Sports,6,66,50,18,2021-09-21,4
48559,1254,10,104.0,10.23,,15.61,Ultra Sports,6,66,50,18,2021-09-21,4
48600,1254,15,116.0,504.54,756.82,693.75,Ultra Sports,6,66,50,18,2021-09-21,4
48630,1486,18,176.0,89.16,133.75,122.61,Ultra Sports,5,65,,18,2021-01-19,2
48638,1486,19,24.0,153.53,245.66,222.63,Ultra Sports,5,65,,18,2021-01-19,2
49118,1486,77,102.0,45.31,90.63,79.3,Ultra Sports,5,65,,18,2021-01-19,2
49127,1486,79,28.0,98.98,133.63,124.97,Ultra Sports,5,65,,18,2021-01-19,2
49150,1486,82,82.0,20.47,30.71,28.15,Ultra Sports,5,65,,18,2021-01-19,2
48532,1486,7,40.0,47.25,65.23,60.74,Ultra Sports,5,65,,18,2021-01-19,2
48631,1546,19,66.0,153.53,245.66,228.83,Falcon Outfitters,17,73,52,18,2021-12-02,4
48702,1546,27,52.0,245.44,,380.83,Falcon Outfitters,17,73,52,18,2021-12-02,4
48763,1546,35,86.0,18.42,24.86,24.86,Falcon Outfitters,17,73,52,18,2021-12-02,4
48807,1546,40,146.0,18.19,25.29,25.29,Falcon Outfitters,17,73,52,18,2021-12-02,4
48946,1546,56,62.0,8.53,17.09,17.09,Falcon Outfitters,17,73,52,18,2021-12-02,4
49137,1546,80,70.0,96.51,164.08,164.08,Falcon Outfitters,17,73,52,18,2021-12-02,4
49157,1546,83,88.0,57.86,92.56,,Falcon Outfitters,17,73,52,18,2021-12-02,4
48564,1546,11,,,354.29,314.8,Falcon Outfitters,17,73,52,18,2021-12-02,4
48610,1546,16,236.0,1.02,2.05,2.05,Falcon Outfitters,17,73,52,18,2021-12-02,4
48632,1493,19,86.0,153.53,245.66,,,20,,52,18,2021-02-25,7
48670,1493,23,22.0,65.25,97.87,97.87,,20,,52,18,2021-02-25,7
48766,1493,35,260.0,18.42,24.86,22.45,,20,,52,18,2021-02-25,7
48799,1493,39,140.0,41.65,66.66,66.66,,20,,52,18,2021-02-25,7
48822,1493,42,36.0,100.91,151.38,151.38,,20,,52,18,2021-02-25,7
48892,1493,51,48.0,34.47,68.94,68.94,,20,,52,18,2021-02-25,7
48924,1493,54,32.0,34.36,51.54,51.54,,20,,52,18,2021-02-25,7
48987,1493,61,58.0,19.52,39.04,39.04,,20,,52,18,2021-02-25,7
49116,1493,77,,45.31,90.63,90.63,,20,,52,18,2021-02-25,7
49230,1493,93,108.0,1.92,4.82,4.82,,20,,52,18,2021-02-25,7
48488,1493,2,240.0,9.32,12.13,11.78,,20,,52,18,2021-02-25,7
48494,1493,3,120.0,16.54,22.84,22.84,,20,,52,18,2021-02-25,7
48633,1353,19,162.0,153.53,245.66,,Falcon Outfitters,18,74,49,18,2021-05-25,2
48661,1353,,14.0,10.18,15.28,15.28,Falcon Outfitters,18,74,49,18,2021-05-25,2
48706,1353,28,52.0,24.35,30.44,30.44,Falcon Outfitters,18,74,49,18,2021-05-25,2
48810,1353,41,44.0,25.15,32.7,32.7,Falcon Outfitters,18,74,49,18,2021-05-25,2
48826,1353,43,28.0,126.51,189.77,189.77,Falcon Outfitters,18,74,49,18,2021-05-25,2
48850,1353,45,,370.35,555.53,555.53,Falcon Outfitters,18,74,49,18,2021-05-25,2
48856,1353,,26.0,52.54,73.55,73.55,Falcon Outfitters,18,74,49,18,2021-05-25,2
49042,1353,67,74.0,121.45,255.07,177.75,Falcon Outfitters,18,74,49,18,2021-05-25,2
49160,1353,83,74.0,57.86,92.56,92.56,Falcon Outfitters,18,74,49,18,2021-05-25,2
49223,1353,,120.0,1.97,4.92,4.92,Falcon Outfitters,18,74,49,18,2021-05-25,2
48563,1353,11,98.0,253.07,354.29,303.47,Falcon Outfitters,18,74,49,18,2021-05-25,2
48634,1265,19,180.0,153.53,245.66,235.53,Falcon Outfitters,18,74,52,18,2021-03-23,4
48697,1265,27,76.0,245.44,441.8,314.64,Falcon Outfitters,18,74,52,18,2021-03-23,4
48786,1265,38,124.0,20.54,30.84,30.84,Falcon Outfitters,18,74,52,18,2021-03-23,4
48939,1265,55,24.0,3.9,7.8,7.8,Falcon Outfitters,18,74,52,18,2021-03-23,4
49140,1265,80,20.0,96.51,164.08,164.08,Falcon Outfitters,18,74,52,18,2021-03-23,4
49189,1265,87,146.0,1.91,5.76,5.76,Falcon Outfitters,18,74,52,18,2021-03-23,4
49274,1265,100,158.0,2.85,5.71,5.71,Falcon Outfitters,18,74,52,18,2021-03-23,4
48595,1265,14,54.0,489.42,611.78,532.3,Falcon Outfitters,18,74,52,18,2021-03-23,4
48635,1487,19,94.0,153.53,245.66,203.91,Ultra Sports,6,66,51,18,2021-01-13,8
48691,1487,26,96.0,217.91,326.86,253.52,Ultra Sports,6,66,51,18,2021-01-13,8
48753,1487,34,64.0,28.94,46.31,46.31,Ultra Sports,6,66,51,18,2021-01-13,8
49035,1487,66,40.0,,92.91,92.91,Ultra Sports,6,66,51,18,2021-01-13,8
20.47,1487,82,48.0,49156,30.71,30.71,Ultra Sports,6,66,51,18,2021-01-13,8
49165,1487,84,40.0,81.23,113.73,113.73,Ultra Sports,6,66,51,18,2021-01-13,8
49187,1487,86,110.0,1.91,5.76,5.76,Ultra Sports,6,66,51,18,2021-01-13,8
48542,1487,8,72.0,78.26,134.63,134.63,Ultra Sports,6,66,51,18,2021-01-13,8
48608,1487,16,422.0,1.02,2.05,2.05,Ultra Sports,6,66,51,18,2021-01-13,8
48613,1487,17,70.0,60.29,84.41,84.41,Ultra Sports,6,66,51,18,2021-01-13,8
48636,1649,19,214.0,153.53,245.66,245.66,Falcon Outfitters,21,32,46,17,2021-10-07,5
48644,1649,20,80.0,80.63,112.9,112.9,Falcon Outfitters,21,32,46,17,2021-10-07,5
48659,1649,22,40.0,10.18,,15.28,Falcon Outfitters,21,32,46,17,2021-10-07,5
48949,1649,57,24.0,77.94,77.94,38.97,Falcon Outfitters,21,32,46,17,2021-10-07,5
48971,1649,59,59.0,45.58,42,59.25,Falcon Outfitters,21,32,46,17,2021-10-07,5
49180,1649,85,68.0,177.17,301.2,258.32,Falcon Outfitters,21,32,46,17,2021-10-07,5
48493,1649,3,170.0,16.54,22.84,22.84,Falcon Outfitters,21,32,46,17,2021-10-07,5
48505,1649,4,,5.11,7.15,7.15,Falcon Outfitters,21,32,46,17,2021-10-07,5
48527,1649,7,56.0,47.25,65.23,65.23,Falcon Outfitters,21,32,46,17,2021-10-07,5
48557,1649,10,58.0,10.23,17.4,17.4,Falcon Outfitters,21,32,46,17,2021-10-07,5
48637,1603,19,102.0,153.53,245.66,245.66,Falcon Outfitters,21,32,44,17,2021-02-11,3
48652,1603,21,74.0,30.28,36.34,36.34,Falcon Outfitters,21,32,44,17,2021-02-11,3
48779,1603,37,98.0,29.93,47.88,47.88,Falcon Outfitters,21,32,44,17,2021-02-11,3
48788,1603,38,108.0,20.54,30.84,30.84,Falcon Outfitters,21,32,44,17,2021-02-11,3
48907,1603,52,106.0,18.35,36.7,,Falcon Outfitters,21,32,44,17,2021-02-11,3
48922,1603,53,238.0,28.2,39.49,39.49,Falcon Outfitters,21,32,44,17,2021-02-11,3
48967,1603,59,38.0,45.58,59.25,59.25,Falcon Outfitters,21,32,44,17,2021-02-11,3
48597,1603,15,,504.54,756.82,661.4,Falcon Outfitters,21,32,44,17,2021-02-11,3
48639,1223,19,90.0,153.53,245.66,245.66,Falcon Outfitters,21,32,43,,2021-03-28,5
48707,1223,28,136.0,24.35,30.44,30.44,Falcon Outfitters,21,32,43,,2021-03-28,5
48764,1223,35,222.0,18.42,24.86,24.86,Falcon Outfitters,21,32,43,,2021-03-28,5
48787,1223,38,122.0,20.54,30.84,30.84,Falcon Outfitters,21,32,43,,2021-03-28,5
49000,1223,62,122.0,46.52,79.11,79.11,Falcon Outfitters,21,32,43,,2021-03-28,5
49130,1223,79,28.0,98.98,133.63,133.63,Falcon Outfitters,21,32,43,,2021-03-28,5
49213,1223,,408.0,2.47,,6.92,Falcon Outfitters,21,32,43,,2021-03-28,5
48480,1223,1,,4.01,6.03,,Falcon Outfitters,21,32,43,,2021-03-28,5
48530,1223,7,46.0,47.25,65.23,65.23,Falcon Outfitters,21,32,43,,2021-03-28,5
48598,1223,15,144.0,504.54,756.82,756.82,Falcon Outfitters,21,32,43,,2021-03-28,5
52824,1223,105,18.0,555.9,2156,989.51,Falcon Outfitters,21,32,43,,2021-03-28,5
81052,1223,105,,555.9,5672,989.51,Falcon Outfitters,21,32,43,,2021-03-28,5
81054,1223,105,48.0,555.9,5405,871.34,Falcon Outfitters,21,32,43,,2021-03-28,5
99600,1223,105,12.0,555.9,8321,989.51,Falcon Outfitters,21,32,43,,2021-03-28,5
48640,1269,19,84.0,153.53,245.66,222.63,Falcon Outfitters,20,17,50,18,2021-03-22,5
48947,1269,57,58.0,68.2,77.94,38.97,Falcon Outfitters,20,17,50,18,2021-03-22,5
49039,1269,67,64.0,121.45,255.07,221.66,Falcon Outfitters,20,17,50,18,2021-03-22,5
49169,1269,84,38.0,81.23,113.73,105.59,Falcon Outfitters,20,17,50,18,2021-03-22,5
49175,1269,85,16.0,177.17,301.2,270.2,Falcon Outfitters,20,17,50,18,2021-03-22,5
49220,1269,91,118.0,1.97,4.92,4.19,Falcon Outfitters,20,17,50,18,2021-03-22,5
49246,1269,95,212.0,2.94,5.88,5.15,Falcon Outfitters,20,17,50,18,2021-03-22,5
49269,1269,99,48.0,1.97,4.94,4.19,Falcon Outfitters,20,17,50,18,2021-03-22,5
48486,1269,1,174.0,4.01,5.53,6.03,Falcon Outfitters,20,17,50,18,2021-03-22,5
48507,1269,4,122.0,5.11,7.15,6.63,Falcon Outfitters,20,17,50,18,2021-03-22,5
48641,1542,20,54.0,80.63,112.9,112.9,Ultra Sports,6,66,49,18,2021-12-12,5
48668,1542,23,20.0,65.25,97.87,97.87,Ultra Sports,6,66,49,18,2021-12-12,5
49176,1542,85,301.0,177.17,46,279.61,Ultra Sports,6,66,49,18,2021-12-12,5
48502,1542,3,76.0,16.54,22.84,22.84,Ultra Sports,6,66,49,18,2021-12-12,5
48569,1542,,58.0,253.07,354.29,323.7,Ultra Sports,6,66,49,18,2021-12-12,5
48642,1640,20,96.0,80.63,112.9,112.9,VIP Department Stores,11,22,44,17,2021-07-31,8
48669,1640,23,28.0,65.25,97.87,97.87,VIP Department Stores,11,22,44,17,2021-07-31,8
49191,1640,87,,86,5.76,5.76,VIP Department Stores,11,22,44,17,2021-07-31,8
49204,1640,89,176.0,2.48,6.96,6.96,VIP Department Stores,11,22,44,17,2021-07-31,8
48482,1640,1,160.0,4.01,6.03,6.03,VIP Department Stores,11,22,44,17,2021-07-31,8
48546,1640,9,20.0,9.14,12.15,12.15,VIP Department Stores,11,22,44,17,2021-07-31,8
48584,1640,13,56.0,398.41,,490.44,VIP Department Stores,11,22,44,17,2021-07-31,8
48643,1451,20,74.0,80.63,112.9,104.83,Falcon Outfitters,18,74,50,18,2021-10-13,4
48678,1451,24,72.0,63.95,76.73,,Falcon Outfitters,18,74,50,18,2021-10-13,4
48805,1451,40,388.0,18.19,25.29,23.51,Falcon Outfitters,18,74,50,18,2021-10-13,4
48812,1451,41,,25.15,32.7,30.81,Falcon Outfitters,18,74,50,18,2021-10-13,4
48851,1451,45,10.0,370.35,,509.25,Falcon Outfitters,18,74,50,18,2021-10-13,4
48909,1451,52,,18.35,,32.11,Falcon Outfitters,18,74,50,18,2021-10-13,4
49174,1451,85,32.0,177.17,301.2,270.2,Falcon Outfitters,18,74,50,18,2021-10-13,4
48477,1451,1,6.0,4.01,6.03,,Falcon Outfitters,18,74,50,18,2021-10-13,4
48496,1451,3,66.0,16.54,22.84,21.27,Falcon Outfitters,18,74,50,18,2021-10-13,4
48523,1451,20,6.0,87.63,123.56,114.58,Falcon Outfitters,18,74,50,18,2021-10-13,4
48609,1451,16,318.0,1.02,2.05,1.79,Falcon Outfitters,18,74,50,18,2021-10-13,4
48615,1451,17,74.0,60.29,84.41,78.37,Falcon Outfitters,18,74,50,18,2021-10-13,4
48645,1597,20,98.0,112.9,112.9,80.63,Ultra Sports,23,7,44,17,2021-01-25,4
48665,1597,23,24.0,65.25,97.87,97.87,Ultra Sports,23,7,44,17,2021-01-25,4
48760,1597,34,100.0,28.94,46.31,46.31,Ultra Sports,23,7,44,17,2021-01-25,4
48800,1597,39,98.0,41.65,66.66,66.66,Ultra Sports,23,7,44,17,2021-01-25,4
48852,1597,45,24.0,370.35,555.53,445.04,Ultra Sports,23,7,44,17,2021-01-25,4
48895,1597,51,256.0,34.47,68.94,68.94,Ultra Sports,23,7,44,17,2021-01-25,4
48957,1597,58,30.0,56.88,79.65,79.65,Ultra Sports,23,7,44,17,2021-01-25,4
49158,1597,,78.0,57.86,92.56,92.56,Ultra Sports,23,7,44,17,2021-01-25,4
49250,1597,96,22.0,16.37,22.92,22.92,Ultra Sports,23,7,44,17,2021-01-25,4
49261,1597,98,48.0,2.91,5.82,5.82,Ultra Sports,23,7,44,17,2021-01-25,4
48646,1627,20,,80.63,112.9,112.9,Falcon Outfitters,21,32,44,17,2021-12-12,4
48699,1627,27,46.0,245.44,441.8,400.3,Falcon Outfitters,21,32,44,17,2021-12-12,4
48765,1627,35,148.0,18.42,24.86,24.86,Falcon Outfitters,21,32,44,17,2021-12-12,4
48834,1627,43,240.0,126.51,189.77,189.77,Falcon Outfitters,21,32,44,17,2021-12-12,4
48862,1627,47,182.0,43.77,63.49,63.49,Falcon Outfitters,21,32,44,17,2021-12-12,4
48959,1627,58,36.0,56.88,79.65,79.65,Falcon Outfitters,21,32,44,17,2021-12-12,4
48989,1627,61,124.0,19.52,39.04,39.04,Falcon Outfitters,21,32,44,17,2021-12-12,4
49037,1627,67,34.0,121.45,255.07,,Falcon Outfitters,21,32,44,17,2021-12-12,4
48481,1627,1,290.0,4.01,6.03,5.26,Falcon Outfitters,21,32,44,17,2021-12-12,4
48579,1627,13,174.0,398.41,537.84,473.57,Falcon Outfitters,21,32,44,17,2021-12-12,4
48647,1215,20,36.0,80.63,112.9,112.9,VIP Department Stores,10,9,,17,2021-03-26,5
48653,1215,21,62.0,30.28,36.34,36.34,VIP Department Stores,10,9,,17,2021-03-26,5
49008,1215,63,82.0,30.63,45.97,45.97,VIP Department Stores,10,9,,17,2021-03-26,5
49072,1215,71,20.0,60.5,90.76,90.76,VIP Department Stores,10,9,,17,2021-03-26,5
48508,1215,4,256.0,5.11,7.15,5.8,VIP Department Stores,10,9,,17,2021-03-26,5
48573,1215,12,288.0,486.92,633,621.85,VIP Department Stores,10,9,,17,2021-03-26,5
48648,1491,20,88.0,80.63,,104.83,Falcon Outfitters,18,74,50,18,2021-02-06,2
48651,1491,21,104.0,30.28,36.34,34.83,Falcon Outfitters,18,74,50,18,2021-02-06,2
48662,1491,22,14.0,10.18,15.28,14.01,Falcon Outfitters,18,74,50,18,2021-02-06,2
48673,1491,23,16.0,65.25,97.87,89.72,Falcon Outfitters,18,74,50,18,2021-02-06,2
48761,1491,34,228.0,28.94,46.31,41.97,Falcon Outfitters,18,74,50,18,2021-02-06,2
48808,1491,40,332.0,,25.29,23.51,Falcon Outfitters,18,74,50,18,2021-02-06,2
48865,1491,47,20.0,43.77,63.49,58.56,Falcon Outfitters,18,74,50,18,2021-02-06,2
48910,1491,52,32.0,18.35,36.7,36,Falcon Outfitters,18,74,50,18,2021-02-06,2
49032,1491,66,42.0,46.45,92.91,81.3,Falcon Outfitters,18,74,50,18,2021-02-06,2
49113,1491,77,76.0,45.31,90.63,79.3,Falcon Outfitters,18,74,50,18,2021-02-06,2
49262,1491,98,3.0,116,5.82,,Falcon Outfitters,18,74,50,18,2021-02-06,2
48650,1426,21,30.0,36.34,28,36.34,Falcon Outfitters,20,17,52,18,2021-08-24,
48698,1426,27,,245.44,441.8,441.8,Falcon Outfitters,20,17,52,18,2021-08-24,
48809,1426,41,82.0,25.15,32.7,32.7,Falcon Outfitters,20,17,52,18,2021-08-24,
48995,1426,62,10.0,46.52,79.11,79.11,Falcon Outfitters,20,17,52,18,2021-08-24,
4.75,1426,88,352.0,1.91,6.73,49197,Falcon Outfitters,20,17,52,18,2021-08-24,
49210,1426,90,328.0,2.47,6.92,6.92,Falcon Outfitters,20,17,52,18,2021-08-24,
49221,1426,91,40.0,1.97,4.92,4.92,Falcon Outfitters,20,17,52,18,2021-08-24,
48539,1426,8,10.0,134.63,134.63,78.26,Falcon Outfitters,20,17,52,18,2021-08-24,
48575,1426,12,252.0,486.92,633,,Falcon Outfitters,20,17,52,18,2021-08-24,
48654,1424,21,,,36.34,34.83,Falcon Outfitters,18,74,50,18,2021-08-07,4
48741,1424,32,180.0,16.87,25.31,23.2,Falcon Outfitters,18,74,50,18,2021-08-07,4
48774,1424,36,238.0,18.45,30.64,27.6,Falcon Outfitters,18,74,50,18,2021-08-07,4
48791,1424,38,18.0,20.54,30.84,28.27,Falcon Outfitters,18,74,50,18,2021-08-07,4
48819,1424,42,34.0,100.91,151.38,138.77,Falcon Outfitters,18,74,50,18,2021-08-07,4
